polarity,text
2,MENTION I loooooooovvvvvveee my Kindle2 Not that the DX is cool but the 2 is fantastic in its own right
2,Reading my kindle2  Love it Lee childs is good read
2,Ok first assesment of the HASHTAG it fucking rocks
2,MENTION Youll love your Kindle2 Ive had mine for a few months and never looked back The new big one is huge No need for remorse 
2,MENTION Fair enough But i have the Kindle2 and I think its perfect 
2,MENTION no it is too big Im quite happy with the Kindle2
0,Fuck this economy I hate aig and their non loan given asses
2,Jquery is my new best friend
2,Loves twitter
2,how can you not love Obama he makes jokes about himself
0,MENTION I firmly believe that ObamaPelosi have ZERO desire to be civil Its a charade and a slogan but they want to destroy conservatism
2,House Correspondents dinner was last night whoopi barbara amp sherri went Obama got a standing ovation
2,Watchin EspnJus seen this new Nike Commerical with a Puppet Lebronsht was hilariousLMAO
0,dear nike stop with the flywire that shit is a waste of science and ugly love MENTION
2,HASHTAG best athlete of our generation if not all time basketball related I dont want to get into intersport debates about __12
0,I was talking to this guy last night and he was telling me that he is a die hard Spurs fan  He also told me that he hates LeBron James
0,MENTION Lebron is a Beast but Im still cheering 4 the Atil the end
2,MENTION lebron IS THE BOSS
2,MENTION Lebron is a hometown hero to me lol I love the Lakers but lets go Cavs lol
2,lebron and zydrunas are such an awesome duo
2,MENTION Lebron is a beast nobody in the NBA comes even close
2,downloading apps for my iphone So much fun  There literally is an app for just about anything
2,good news just had a call from the Visa office saying everything is finewhat a relief I am sick of scams out there Stealing
2,In montreal for a long weekend of RampR Much needed
2,Booz Allen Hamilton has a bad ass homegrown social collaboration platform Way cool HASHTAG
2,MENTION I current use the Nikon D90 and love it but not as much as the Canon 40D50D I chose the D90 for the video feature My mistake
1,need suggestions for a good IR filter for my canon 40D  got some pls DM
2,MENTION Google is always a good place to look Shouldve mentioned I worked on the Mustang w my Dad MENTION
0,Played with an android google phone The slide out screen scares me I would break that fucker so fast Still prefer my iPhone
0,US planning to resume the military tribunals at Guantanamo Bay only this time those on trial will be AIG execs and Chrysler debt holders
0,omg so bored amp my tattoooos are so itchy  help aha 
0,Im itchy and miserable
0,MENTION no Im not itchy for now Maybe later lol
2,MENTION Has been a bit crazy with steep learning curve but LyX is really good for long docs For anything shorter it would be insane
2,Im listening to PYT by Danny Gokey lt3 lt3 lt3 Aww hes so amazing I lt3 him so much 
2,is going to sleep then on a bike ride
0,cant sleep my tooth is aching
0,Blah blah blah same old same old No plans today going back to sleep I guess
0,glad i didnt do Bay to Breakers today its 1000 freaking degrees in San Francisco wtf
1,is in San Francisco at Bay to Breakers
1,just landed at San Francisco
1,San Francisco today  Any suggestions
0,started to think that Citi is in really deep sampt Are they gonna survive the turmoil or are they gonna be the next AIG
0,ShaunWoo haten on AiG
2,MENTION you will not regret going to see Star Trek It was AWESOME
1,On my way to see Star Trek MENTION The Esquire
1,Going to see star trek soon with my dad
0,annoying new trend on the internets  people picking apart michael lewis and malcolm gladwell  nobody wants to read that
2,Blink by malcolm gladwell amazing book and The tipping point
2,Malcolm Gladwell might be my new man crush
0,omg The commercials alone on ESPN are going to drive me nuts
2,MENTION Playing with Twitter API sounds fun May need to take a class or find a new friend who like to generate results with API code
1,playing with cURL and the Twitter API
2,Hello Twitter API 
1,playing with Java and the Twitter API
0,MENTION Because the twitter api is slow and most clients arent good
0,yahoo answers can be a butt sometimes
2,is scrapbooking with Nic D
2,just changed my default pic to a Nike basketball cause bball is awesome
1,Next time Ill call myself Nike
0,RT MENTION Was just told that Nike layoffs started today 
2,Back when I worked for Nike we had one fav word  JUST DO IT 
1,giving weka an app engine interface using the bird strike data for the tests the logo is a given
2,Class The 50d is supposed to come today 
0,needs someone to explain lambda calculus to him 
0,Took the Graduate Field Exam for Computer Science today  Nothing makes you feel like more of an idiot than lambda calculus
2,SHOUT OUTS TO ALL EAST PALO ALTO FOR BEING IN THE BUILDIN KARIZMAKAZE 50CAL GTA ALSO THANKS TO PROFITS OF DOOM UNIVERSAL HEMPZ CRACKA
0,MENTION Yeahhhhhhhhh I wouldnt really have lived in East Palo Alto if I could have avoided it I guess its only for the summer
2,MENTION MENTION Great Stanford course Thanks for making it available to the public Really helpful and informative for starting off
2,MENTION work til 6pm lets go lakers
0,Can we just go ahead and blow North Korea off the map already
0,Why the hell is Pelosi in freakin China and on whose dime
0,Are YOU burning more cash  than Chrysler and GM Stop the financial tsunami Where bailout means taking a handout
0,insects have infected my spinach plant 
0,wish i could catch every mosquito in the world n burn em slowlythey been bitin the shit outta me 2daymosquitos are the assholes of insects
0,just got back from church and I totally hate insects
0,Just got mcdonalds goddam those eggs make me sick O yeah Laker up date go lakers Not much of an update Well its true so suck it
2,omgg i ohhdee want mcdonalds damn i wonder if its open lol 
0,History exam studying ugh
0,I hate revision its so boring I am totally unprepared for my exam tomorrow  Things are not looking good
0,Higher physics exam tommorow not lookin forward to it much 
0,Its a bank holiday yet Im only out of work now Exam season sucks
0,The Republican party is a bunch of antiabortion zealots who couldnt draw flies to a dump  Neal Boortz just now on the radio
0,is Twitters connections API broken Some tweets didnt make it to Twitter
0,i srsly hate the stupid twitter API timeout thing soooo annoying 
2,zomg I have a G2
2,just got a free G2 android at google io
2,Guess Ill be retiring my G1 and start using my developer G2 woot HASHTAG
1,At GWT fireside chat MENTION
2,I am happy for Philip being at GoogleIO today
2,Lakers played great  Cannot wait for Thursday night Lakers vs 
0,VIRAL MARKETING FAIL This Acia Pills brand oughta get shut down for hacking into peoples messengers  i get 56 msgs in a day Arrrgh
2,watching Night at The Museum  Lmao
2,i loved night at the museum
1,going to see the new night at the museum  movie with my family oh boy a three year old in the movies fuin
2,just got back from the movies  went to see the new night at the museum with rachel  it was good
1,Just saw the new Night at the Museum movieit wasokaylol 710
1,Going to see night at the museum 2 with tall boy
2,MENTION I will take you on a date to see night at the museum 2 whenever you wantit looks soooooo good
2,no watching The Night At The Museum Getting Really Good
2,Night at the Museum Wolverine and junk food  perfect monday
2,saw night at the museum 2 last night pretty crazy movie but the cast was awesome so it was well worth it Robin Williams forever
1,I saw Night at the Museum Battle of the Swithsonian today It was okay Your typical kids Ben Stiller movie
1,Taking Katie to see Night at the Museum  she picked it
0,Night at the Museum tonite instead of UP  oh well that 4 yr old better enjoy it LOL
0,Its unfortunate that after the Stimulus plan was put in place twice to help GM on the back of the American people has led to the inevitable
0,Tell me again why we are giving more  to GM We should use that  for all the programs that support the unemployed
0,MENTION oh yes but if GM dies it will only be worth more boo hahaha
0,Time Warner cable is down again 3rd time since Memorial Day bummer
0,I would rather pay reasonable yearly taxes for free fast internet than get gouged by Time Warner for a slow connection
0,NOOOOOOO my DVR just died and I was only half way through the EA presser Hate you Time Warner
0,Fck Time Warner Cable You fcking suck balls I have a 700 HD tv amp my damn HD channels hardly ever come in Bullshit
0,time warner has the worse customer service ever I will never use them again
0,Time warner is the devil Worst possible time for the Internet to go out
0,Fuck no internet damn time warner
0,time warner really picks the worst time to not work all i want to do is get to mtvcom so i can watch the hills wtfffff
0,I hate Time Warner Soooo wish I had Vios Cant watch the fricken Mets game wo buffering I feel like im watching free internet porn
0,Ahhgot rid of stupid time warner today amp now taking a nap while the roomies cook for me Pretty good end for a monday 
0,Time Warners HD line up is crap
0,is being fucked by time warner cable didnt know modems could explode and Susan Boyle sucks too
1,Time Warner Cable Pulls the Plug on The Girlfriend Experience  wwwtinyurlcomm595fk
0,Time Warner Cable slogan Where calling it a day at 2pm Happens
0,Recovering from surgerywishing MENTION was here 
2,My wrist still hurts I have to get it looked at I HATE the drdentistscary places  Time to watch Eagle eye If you want to join txt
1,Dentist tomorrow Have to brush well in the morning Like I make my hair all nice before I get it cut Why
0,THE DENTIST LIED  U WONT FEEL ANY DISCOMORT PROB WONT EVEN NEED PAIN PILLS MAN U TWIPPIN THIS SHIT HURT HOW MANY PILLS CAN I TAKE
0,MENTION my dentist is great but shes expensive
2,is studing math  tomorrow exam and dentist 
0,my dentist was wrong WRONG
0,Going to the dentist later
0,Son has me looking at cars online  I hate car shopping  Would rather go to the dentist  Anyone with a good car at a good price to sell
1,Cardinals baseball advance to Super Regionals Face CSFullerton Friday
1,waiting in line at safeway
0,luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that
1,Did not realize there is a gym above Safeway
1,MENTION I have three words for you Safeway dot com
2,Safeway is very rock n roll tonight
1,Bout to hit safeway I gotta eat
1,Jakes going to safeway
